word	frequency	WiyotEquivalents
go	479	['ol', 'hól', 'etór', 'átor', 'łag', 'atól', 'lák', 'tol', 'atór', 'etol', 'ádol', 'ól', 'log', 'lag', 'ától', 'yoł', 'łókh', 'tolól', 'łág', 'klól', 'ator', 'hal', 'otól', 'yól', 'talól', 'átol', 'awoł', 'lol', 'alól', 'ólis', 'lóg', 'lół', 'lól', 'halulol', 'hol', 'itól', 'adol', 'étol', 'ahtól', 'tól', 'etól', 'ítol', 'rag', 'itol', 'ótól', 'atol', 'étor', 'alol', 'lág', 'l', 'loł']
DEM.DIST	432	['kúd', 'kudo', 'kutó', 'kudá', 'kú', 'kuda', 'kúr', 'kedu', 'kudó', 'kudu', 'wu', 'ku', 'kú,', 'kud', 'kúda', 'kudú', 'kúdo', 'kúdu', 'kadu']
3POSS	414	['húh', 'a(hl)', 'el', 'ahl', 'há', 'ehl', 'da', 'akhł', 'ihl', 'áhl,', 'hú', 'óhl', 'ha', 'ahr,', 'o', 'ar', 'ahl,', 'e', 'huh', 'ehla', 'ho', 'ihr', 'khú', 'hu', 'ohl', 'hł', 'ahr', 'ahl:']
3NEG	341	['khó', 'ko', 'kho', 'kwoh', 'ku', 'ke', 'ka', 'khá', 'kwó', 'kwo', 'kó']
DEF	310	['to,', 'ta', 'to', 'tó', 'tó,']
NMLZ.INF	268	['okw', 'ek', 'ukw', 'ák,', 'ik,', 'k', 'ék', 'ík,', 'ak', 'ehkw', 'ahk', 'ék,', 'ak.', 'ok', 'ákw', 'ík', 'ikw', 'ak,', 'ih', 'íkw', 'ag', 'ák', 'ékw', 'ók', 'akw', 'étk', 'ekwh', 'uk', 'ekw', 'ik', 'ékh']
see	263	['wel', 'wol', 'wél', 'wáł', 'wehl', 'wál', 'wał', 'wil', 'wéł', 'towił', 'bel', 'wahl', 'kł', 'tówiłór', 'wal', 'khł']
go.to	240	['bá', 'b', 'bó', 'wu', 'bu', 'wá', 'we', 'wo', 'mó', 'ma', 'wó', 'bo', 'wa', 'ba', 'łak', 'bí']
3SBJ.INDF.	237	['úy.', 'ùy.', 'ih.', 'uyh.', 'u.', 'úih.', 'ò.', 'uh.', 'h.', 'ił.', 'oy.', 'uhm.', 'ui.', 'uih.', 'uy.', 'úyh.']
3SBJ.INDF	227	['i', 'ùy,', 'úy,', 'uyh', 'eh', 'uy,', 'uh', 'úh', 'uy', 'oy,', 'óy,', 'oy', 'úy', 'ił', 'owh', 'ui', 'u', 'ih', 'úih', 'uih', 'úyh']
around	226	['ol', 'ló', 'we', 'há', 'toló', 'la', 'talo', 'ye', 'is', 'won', 'yó', 'yo', 'lo', 'ha', 'hó', 'wo', 'ło', 'hoh', 'ho', 'wor', 'tálo', 'hu', 'wá', 'taló', 'hóh', 'wó', 'wa', 'ihyaw']
TH.IMPL	209	['athaw', 'áw', 'ithaw', 'ow', 'aw', '[a]w', 'íw', 'étaw', 'éthaw', 'etháw', 'íthów', 'ohw', 'íthaw', 'úw', 'ahw', 'áhw', 'ethaw', 'ów', 'uhw', 'ihw', 'iw', 'itháw', 'étháw', 'ohm', 'éhw', 'íhw', 'othúw']
say	204	['lónel', 'il', 'tónal', 'hil', 'yil', 'lił', 'y', 'yónel', 'tohl', 'iél', 'lehl', 'hónal', 'líl', 'yél', 'yíl', 'hehl', 'h', 'lél', 'híl', 'yel', 'l', 'lónal', 'lón']
NMLZ.P	199	['i,', 'i', 'ik,', 'eh', 'úh,', 'ah', 'uh', 'uh,', 'h,', 'ih,', 'ił,', 'íh,', 'ih.', 'ih', 'e', 'h', 'ig', 'í,', 'éh', 'í', 'é']
then	197	['yoh', 'yok', 'hi', 'ka', 'yohk', 'kiłih', 'yú', 'yókh', 'kas', 'yó', 'hí', 'yo', 'kos', 'ko', 'ya', 'yók', 'kiłih,', 'hu', 'khá', 'kós']
come	184	['yu', 'tów', 'łuw', 'luhw', 'yú', 'dúw', 'luw', 'lu', 'lów', 'lúw', 'úw', 'yuw', 'yúw', 'tuw', 'luh', 'ów', 'túw', 'láw', 'kulúw', 'lú', 'húw']
3SBJ.IMPL	169	['ad', 'od,', 'ad,', 'ahwad,', 'ád,', 'àd,', 'ed', 'ahn', 'od', 'ád']
also	158	['woł,', 'wáł', 'woł', 'wał', 'wół']
very	153	['katagána,', 'katagana', 'katagána', 'sbów', 'wowi', 'sbowí', 'sbówi', 'katakana', 'kátagana', 'katágana', 'kataganá', 'kátagána', 'swówi', 'sbowi', 'swowí', 'swowi']
SUB	143	['ad', 'ab', 'áhł', 'áhkw', 'w', 'ed', 'aw', 'ahn', 'ahr', 'at', 'ahl,']
3POSS.	142	['ahl.', 'ahr.', 'ohl.', 'al.', 'ihr.', 'uhl.', 'ehl.']
PL	141	['tu,', 'tú', 'tokwun,', 'tu']
CESS	140	['kíł', 'ket', 'ki', 'kéth', 'kit', 'kíł,', 'kéł', 'keł', 'kił,', 'kil', 'ke', 'kí', 'kíth', 'ké', 'kít', 'keh', 'geł', 'kił']
think	133	['dog', 'no', 'dow', 'nog', 'datw', 'dów', 'dóg', 'now', 'dók', 'nóg', 'dág', 'dátw', 'nók', 'nág', 'nó', 'étw', 'dókw', 'dó', 'dathw', 'nów', 'noh', 'nok', 'nag']
NMLZ.P.	131	['ih.', 'íh.', 'h.', 'uh.', 'oh.', 'úh.', 'i.', 'ił.', 'ik.', 'ì.', 'éh.', 'í.', 'ah.', 'eh.']
like	129	['tíšk', 'tišk', 'thíšk', 'yó', 'yo,', 'yo', 'tiškóg']
eat	125	['pł', 'bíw', 'míw', 'béw', 'płalab', 'ápal', 'épál', 'bíwih', 'phł', 'op', 'woł', 'ápel', 'opal', 'bí', 'biw', 'boł', 'ph', 'al', 'awół', 'áhp', 'mół', 'bew', 'ópal', 'apal']
all	120	['rawag', 'háru', 'du', 'hala', 'harú', 'harawí', 'harawá', 'rawa', 'čaru', 'hawu', 'da', 'halawé', 'dú', 'róh', 'dáh', 'heraw', 'dá', 'rawá', 'harawo', 'ha', 'haraw', 'halu', 'rá', 'rú', 'háwa', 'harawa', 'hada', 'raw', 'ra', 'haru', 'ru', 'duh']
on.arrival	120	['kwí', 'kí', 'kwé', 'kwhí', 'kwhé', 'khi', 'kwe', 'kwi', 'kwhi']
UNK	119	['múywúłi', 'úwán', 'pat', 'iy', 'waki', 'ka', 'tothúšophłiyek', 'aw', 'k', 'wocokw', 'čithkł', 'igat', 'óyag', 'lułi', 'tolútágadalihm', 'abo', 'ił', 'awákaw', 'withóhw', 'kutakhł', 'noyš', 'lu', 'ulig', 'sba', 'lócuw', 'ískew', 'wár', 'ad', 'lokh', 'wag', 'čhwóyoč', 'wa', 'kačhaw', 'deg', 'lí', 'do', 'kóyaw', 'kádawa', 'haloh', 'khuwèyél', 'bi', 'latka', 'c', 'ógad', 'tuthabíł', 'ok', 'sét', 'ki', 'čhwíšeł', 'ith', 'póth', 'khosán', 'th', 't', 'athon', 'todakúmadodáčhóy', 'łaró', 'gá', 'tuk', 'ełtót', 'gadel', 'oyo', 'dúhtá', 'ako', 'unów', 'ak', 'khadówalah', 'naš', 'kupíčhiwo', 'awel', 'tókhwaw', 'wém', 'lekwél', 'phadác', 'nó', 'rá', 'sò', 'on', 'lú', 'ew', 'kwho', 'wacél', 'watw', 'totkópihš', 'ól', 'phišút', 'ašáł', 'wéth', 'ewíwelókw', 'da', 'wu', 'boł', 'ri', 'ul', 'číkwagačhgarókweh', 'alél', 'čhkačóčh', 'uš', 'wáłehl', 'hawa', 'watki', 'yi', 'oyuthóyeged', 'íł']
CAUS	113	['oth', 'ót', 'iy', 's', 'és', 'et', 'is', 'oc', 'óth', 'ey', 'ósw', 'ís', 'ohs', 'es', 'ós', 'ihs', 'as', 'os', 'íy', 'ás', 'us', 'ús', 'uhs', 'ot']
AFF.	112	['kítko.', 'kitko.', 'kitkó.']
3SBJ.IMPL.	110	['àd.', 'ad.', 'ád.', 'ohn.', 'ed.', 'ahn.', 'od.']
TH.SUB	108	['ad', 'ohł', 'w', 'iw', 'aw', 'kw']
3SBJ.STV.	108	['em.', 'an.', 'od.', 'àd.', 'ib.', 'ad.', 'ád.', 'ihm.', 'ohn.', 'im.', 'ed.', 'i.', 'e.', 'on.', 'ahn.', 'ì.', 'eh.']
know	106	['wan', 'kókw', 'kokw', 'ókw', 'kukw']
out	100	['thíg', 'kó', 'thígadał', 'thág', 'thíga', 'thigadał', 'thígad', 'thigadáł', 'thigad', 'adol', 'thig', 'thi']
DUB	99	['kito,', 'kitó', 'kiyo', 'kíto', 'to', 'kiyo,', 'kito', 'kíto,', 'kíyo,']
ADVS	98	['yał', 'itk', 'eł', 'yał,', 'ał', 'il', 'ił', 'yił', 'ał,', 'ihl', 'áł', 'yáł']
NMLZ	97	['okw', 'ek', 'aw', 'k', 'ab', 'ak', 'ił', 'ih,', 'ił,', 'ákw', 'ikw', 'ih', 'at,', 'íkw', 'ahl,', 'ag', 'ékw', 'ał', 'akw', 'ekw', 'ahr', 'od', 'kw']
so	92	['dagad', 'dá', 'hu', 'n', 't', 'na', 'd']
3SBJ.STV	88	['ad,', 'an', 'ád,', 'em', 'òd,', 'eh', 'ib', 'id', 'án', 'im', 'àd,', 'ód,', 'ì.', 'ad', 'ib,', 'ad.', 'ohn,', 'í', 'od']
when	88	['kú', 'ku', 'hu']
INST	85	['ag', 'útw', 'ut', 'ónel', 'ał,', 'utw', 'úhw', 'út', 'ótw']
INDF	84	['ho', 'talo', 'tá', 'taro', 'lo', 'ló', 'ha', 'hó', 'hú', 'taló', 'wo', 'tólo', 'wó', 'há', 'wa', 'yo']
sit	83	['ágad', 'ítiwad', 'itíwad', 'etéwad', 'them', 'wetéwad', 'étíwad', 'itewad', 'tam', 'itéwad', 'ítewad', 'itiwad', 'tom', 'éwad', 'tám']
NEG.EMPH	82	['kiyókwo', 'ki', 'lé', 'łe', 'khí', 'ke', 'kí', 'łé']
PFV	80	['wu', 'wú', 'bú', 'wa', 'bu']
NMLZ.A	79	['eł', 'íł,', 'ił', 'ił,', 'íł']
SUB.3DEF	78	['áhł', 'áhl', 'ahr,', 'ihl', 'áhl,', 'ahl', 'ahl,']
by.hand	78	['an', 'áhn', 'in', 'en', 'én', 'ín', 'án', 'éšón']
be.one	76	['kut', 'kutks', 'suhm', 'kuc,', 'kuce', 'kúca', 'kúc', 'kú', 'kút', 'kúcs', 'kuc']
1NEG	75	['ko', 'kudó', 'kudo', 'do', 'kadó', 'gado', 'kedo', 'kada', 'kado', 'kedó', 'kadá']
already	75	['łá', 'ła', 'łe', 'łé', 'ło', 'łó']
toward	74	['khukhš', 'do', 'dokh', 'lúth', 'dok', 'dikh', 'dókh', 'rok', 'dók,', 'dók']
DEM.PROX	74	['wud', 'wu', 'wad', 'wudo', 'wado', 'wú', 'wada', 'wuhs,', 'wa', 'wuda', 'wato', 'wudó', 'wúd']
SER	68	['luhmil,', 'tó,', 'to', 'tó', 'tò', 'tò,']
1POSS	67	['dá', 'duh', 'do', 'n', 'ta', 'du', 'nó', 'dut', 'da', 'd', 'ru', 'dú', 'dó']
go.in	66	['kátaw', 'kato', 'tól', 'katow', 'kátow', 'kótow', 'káhtaw', 'kata', 'kótaw', 'katawal', 'káthaw', 'kataw']
finally	65	['kłe', 'łe', 'kłé', 'łé', 'ło']
3SBJ<NMLZ.P>IMPL	64	['o<h>n,', 'ka<h>n,', 'á<h>n,', 'a<h>n', 'é<h>n,', 'i<h>n,', 'a<h>n,', 'í<h>n,']
tell	62	['thál', 'log', 'lél', 'l', 'lóg', 'lág', 'yag', 'y', 'h', 'yog', 'lag']
NMLZ.INF.	62	['óg.', 'ek.', 'akw.', 'ih.', 'àk.', 'ík.', 'ik.', 'ák.', 'ìk.', 'ak.']
dance	62	['ótow', 'haleb', 'otaw', 'lot', 'láhlab', 'úhlaw', 'lotaw', 'uhlaw', 'lew', 'hélaw', 'otab', 'lúhlaw', 'luhlaw', 'hahlab', 'yahlab']
be.large	60	['píwad', 'doł', 'donót', 'no', 'doht', 'piwa', 'donó', 'dóg', 'dotad', 'dot', 'miwad', 'dót', 'don', 'nót', 'kác', 'nó', 'noto', 'not', 'doce', 'doc', 'dóhth', 'dol']
3PL	56	['tokwun', 'toku,', 'kwilawótil', 'toku', 'tóku', 'tokwun,']
1SBJ	56	['ó', 'i,', 'á', 'ih.', 'a', 'á,', 'í,', 'i', 'ih', 'a,', 'eh', 'o', 'oh', 'yil', 'ah', 'e', 'uh']
1SG	56	['kíł', 'yíł', 'yí', 'yił', 'yil', 'yi', 'yeł', 'yíl']
relating.to	56	['yał', 'wáł', 'ał', 'wał', 'yił', 'wół', 'bał', 'báł']
no.longer	55	['khalók', 'kalók', 'kulókh', 'kalúk', 'kalákh', 'kalo', 'kaloh', 'kalok', 'kolók', 'kulók', 'kalókh', 'khalókh', 'kalokh', 'kaló']
3OBJ[1SBJ]	54	['m', 'áwuhm,', 'im', 'ehm', 'úhm,', 'uhm,', 'íhm,', 'áwuhm', 'ab,', 'm,', 'uk,', 'óm', 'uhm', 'óm,', 'um', 'im,', 'om']
carry	54	['ulaw', 'khul', 'law', 'khohyul', 'wúlaw', 'lul', 'lúlaw', 'úlow', 'hlulaw', 'úlaw', 'wúl', 'lohlul', 'lulaw', 'hul', 'ul', 'lút', 'úl', 'ohyul', 'hlul', 'lúhl', 'hlúl', 'lohyul']
coyote	54	['witkół', 'witkał', 'khoyúti,', 'witkół,', 'witkoł', 'wétkoł', 'wítkoł', 'khoyúti']
FUT	54	['wé', 'bi', 'wi', 'wí', 'bí']
look.at	54	['ał', 'tówiłor', 'tawóyałok', 'towił', 'towiłór', 'tówił', 'kł', 'tówełor', 'tóweł', 'tówikhł']
see.3obj	51	['wal']
make	51	['kok', 'ad', 'ków', 'lók', 'ak', 'látks', 'atks', 'ahk', 'łák', 'kucokhé', 'nal', 'lok', 'lokw', 'kow']
suddenly	51	['kwís', 'kwhís', 'khis', 'kwis']
go.down	51	['tékw', 'lók', 'łag', 'tikw', 'łág', 'łakohg', 'łák', 'lág', 'łákohg', 'log', 'łak', 'lag']
3SBJ.PASS.	51	['em.', 'an.', 'àd.', 'ib.', 'ad.', 'im.', 'eh.', 'ahn.', 'od.', 'at.']
down	50	['tékw', 'tíkha', 'tikw', 'łák', 'tikwe', 'tíkw', 'bał']
NEG	49	['ko', 'ih,', 'lute', 'ya', 'éh', 'i', 'kiyo', 'áh,', 'ahg', 'ih', 'oh', 'kíyowl,', 'kíyowl', 'úh,', 'uh', 'úh']
look.so[3sbj.stv]	49	['dákw', 'dákw,', 'dakw', 'dakw,']
go.up	49	['lit', 'ith', 'it', 'lét', 'dit', 'hítakw', 'toth', 'hitákw', 'yét', 'yat', 'lít', 'ét', 'yet', 'dót', 'léht', 'let', 'hit', 'yít']
not.much	48	['piwa', 'píwa', 'pi']
fire	48	['mas', 'bás,', 'bas', 'más', 'was', 'mes']
now	47	['wakíł,', 'wudokíł', 'wakíł', 'wudokeł', 'wakił', 'wudakíł', 'kiłwał', 'wudakéł', 'wakìł,', 'wudakił', 'wudókił', 'wudakeł', 'wudagił', 'kował']
where	47	['tawu', 'tuwó', 'tówa', 'dahgad', 'tuwo', 'tewu', 'tawo', 'tawóh', 'kú', 'ku', 'ka', 'tawó']
LOC	47	['akw', 'ak', 'okw', 'okw,', 'o(kw)', 'ókw,', 'o', 'ókw']
be.long.time	47	['rúk', 'nuka', 'uk', 'búkat', 'duka', 'dúk', 'núk', 'ruk', 'duk', 'núh', 'nuk', 'rúg']
in.vain	46	['tiš', 'kíš', 'kiš', 'kiš,']
1OBJ	46	['ol', 'wél', 'il', 'wil', 'wéł', 'el', 'awíl', 'wíl', 'ól', 'mél', 'ółal', 'éł', 'or', 'ér', 'owír', 'ówal', 'íłal', 'eł', 'w', 'al', 'ar', 'ohwal', 'wel', 'él']
say.to	45	['yíl', 'thál', 'l', 't', 'yet', 'y', 'h', 'yél']
only	44	['wano', 'wonakw,', 'wonákw', 'wono', 'wónakw', 'wóna,', 'wónakw,', 'wíł', 'wona', 'wana', 'pítab', 'wonakw', 'pítaba', 'pitab', 'wona,']
nice	44	['kúc,', 'kúc', 'kuc']
SUB.3DEF.	43	['áhl.', 'ahl.', 'ohl.', 'ahr.']
girl	42	['odił', 'cárorił', 'bočhad', 'wóčad', 'carórił', 'carorił', 'carárił', 'bóčad', 'caróril', 'carórił,']
be.two	42	['dit', 'dítw', 'dít', 'díth', 'dití', 'nít', 'dét', 'dítat', 'díti', 'ditab']
white.man	42	['tikwó,', 'tikwó', 'tikwo', 'tikwóh,']
all.the.way.to	41	['bó,', 'bo,', 'bo']
INST.IMPL	40	['onil', 'ónéw', 'oníl', 'ónihl', 'onihl,', 'ónew', 'ónel', 'ónil', 'onihl', 'ónihl,']
1SBJ.	40	['áh.', 'á.', 'oh.', 'i.', 'e.', 'ig.', 'í.', 'ah.', 'eh.']
be.good	39	['wud', 'kúc', 'dakwh', 'kuc']
do	39	['ad', 'ár', 'ko', 'ków', 'dár', 'k', 'lók', 'yók', 'lóg', 'hok', 'yok', 'law', 'lok', 'ar', 'nar', 'gów', 'nár', 'kow']
long.ago	39	['kučhé', 'kukwé,', 'khuno', 'kukwé', 'kuče', 'kučhe', 'kuče,', 'kwétow', 'kučé', 'kukwe', 'kučé,']
TH.1OBJ	38	['íw', 'il', 'ił', 'w', 'éw', 'áw', 'aw', 'ow', 'ów', 'ohw', 'ew']
man	38	['kuwił', 'kuhwil', 'kuwíh', 'kuwíl', 'kuwil', 'kúwik', 'kuhwíl,', 'kúwih', 'kúwih,', 'kuhwíl']
3SG	37	['kwilahl', 'kwiláhl,', 'kwílehl', 'kwhí', 'kwilal', 'kwiláhl', 'kwilél', 'kwilál', 'kwhi']
LOC.	37	['akw.', 'okw.', 'ókw.', 'og.', 'ákwi.', 'òkw.']
3SBJ<NMLZ.P>IMPL.	37	['á<h>n.', 'i<h>n.', 'o<h>n.', 'a<h>n.', 'ú<h>n.', 'é<h>n.']
NMLZ.A.	37	['ìł.', 'ił.']
old.man	36	['kokwił', 'kókwił', 'kókweł', 'kokwíł,', 'kokwíł']
do.so	36	['dar', 'déd', 'dár', 'dagado', 'dákw', 'nar', 'ded', 'nár', 'néd']
something	36	['kwołto', 'tółto,', 'tówał', 'kwołwo', 'kwałtó', 'kwółto,', 'tołto', 'kwółto', 'kówał']
work	36	['łak', 'wak', 'ków', 'akw', 'lók', 'łog', 'ak', 'lokabuw', 'łákh', 'lok', 'k', 'kow']
TH.PASS	36	['ehw', 'ówuw', 'éw', 'u', 'ahw', 'úw', 'áw', 'aw', 'ow', 'áhw', 'ów', 'uw', 'ew']
kill	35	['níyaw', 'šakwéš', 'díyaw', 'niyáw', 'níyab', 'níyow', 'díyab', 'diyaw', 'díab', 'r', 'niey', 'ní(y)ew', 'díew']
cry	35	['íkwhł', 'ikwhł', 'wíkwł', 'lekwł', 'likwhł', 'tekwhł', 'ikwł', 'lekwhl', 'likwł', 'ekwhł', 'bów', 'mów', 'wów', 'tékwhł', 'ékwhł']
water	35	['huhl,', 'badočíh', 'badočéh', 'huhl', 'bádočih', 'ál', 'dočhé', 'al', 'badočíh,', 'ul', 'húhl', 'badočhéh', 'húhl,', 'wudačhé']
REFL	35	['íw', 'ihw', 'éw', 'aw', 'iw', 'ehw', 'ew']
be.far	34	['łówi', 'łowi', 'łówe', 'duk', 'łów', 'łow', 'nuk', 'łó']
what.int	34	['šawó,', 'šúwo', 'kwołwoh', 'šuwú', 'šukó', 'kwołwo', 'šuwó', 'kwółwo', 'šawó', 'tiwe', 'šuwa', 'šawo', 'kwołwó', 'šuwo', 'šuw']
throw	34	['athóhra', 'éthohl', 'thóhlaw', 'átháhl', 'óhlaw', 'áthóhl', 'ithóhl', 'ithohl', 'áthohl', 'thohr', 'othóhl', 'thóhl', 'athóhl', 'ethóhl', 'athohl', 'éthohlaw']
sing	34	['lohn', 'ólísw', 'welóyaw', 'olísw', 'lohnal', 'lólisw', 'ólisw', 'olisw']
3SBJ<NMLZ.P>STV	33	['i<h>m,', 'á<h>n,', 'a<h>n', 'o<h>n,', 'ó<h>n,', 'i<h>n,', 'a<h>n,', 'o<h>n', 'e<h>n']
upon.arrival	33	['kwi', 'kwí']
be.so[3sbj.stv]	33	['dákw', 'dakw', 'dakw,', 'dákw,']
dwell	33	['tów', 'ak', 'tók', 'tol', 'tokw', 'tókw', 'tok', 'tól']
be.so.many	32	['tál', 'hál', 'ál', 'lal', 'lál', 'hl', 'l', 'hal', 'hahl', 'hel', 'halo']
some	32	['bigoy', 'wige', 'bígoy,', 'mige', 'bige', 'migé', 'bimé', 'mime', 'mimé', 'bígoy']
PROH	32	['š', 'šu', 'šú']
use	31	['kótab', 'kotab', 'katab', 'kótaw', 'lokw', 'adóg']
cut	31	['thohw', 'phokhiy', 'él', 'il', 'th', 'akad', 'thow', 'tík', 'ow', 'tik', 'ohm', 'ohw']
win	30	['kélew', 'kelaw', 'kelew', 'kel', 'kéhlab', 'kél', 'kehlab', 'kélab']
float	30	['wómal', 'wíhs', 'wehš', 'óhm', 'awéhm', 'wíhm', 'wihm', 'lóhm', 'awíhm', 'wím', 'óm', 'awehm', 'wímal', 'lúł', 'om']
TH.3OBJ	30	['othu', 'óthu', 'ithá', 'ih', 'áw', 'uh', 'áwuh']
upright	29	['lúto', 'lúta', 'lut', 'łut', 'yut', 'luht', 'lút', 'yút']
2SBJ	29	['ad', 'ith', 'it', 'it,', 'am,', 'ét', 'at,', 'íhs', 'ot', 'at', 'e']
3OBJ[1SBJ].	29	['ab.', 'm.', 'úm.', 'im.', 'om.', 'um.', 'uhm.', 'òm.', 'óm.', 'áwuhm.']
NEG.	28	['ih.', 'úk.', 'u.', 'uh.', 'ih(g).', 'ag.', 'i.', 'úh.', 'kíyowl.', 'ig.', 'éh.', 'ah.', 'eh.']
first	28	['čké', 'čhke', 'čke']
INST.IMPL[3SBJ.PASS]	28	['onihl:', 'onihl,', 'ónihl', 'onihl', 'ónihl,']
go.over	28	['kálab', 'galaw', 'kálaw', 'káláw', 'kalab', 'káhlab', 'gálaw', 'kálabakw', 'gálew', 'kaláw', 'kalaw', 'kálabatk']
be.so	27	['dagad', 'dagadoyákw', 'dakh', 'na', 'dagadoy', 'd', 'dákwh', 'dákw', 'dakw', 'dágadóyakwh']
TH.SBJV	27	['íhl', 'ag', 'ehy', 'ihy', 'iy', 'íhy', 'éy', 'ahg', 'ág', 'ey', 'áhg', 'ahm']
on.that.side	27	['lákowh', 'lakah,', 'lákow', 'lákah,', 'lága', 'lakah', 'lákah', 'láhkowh']
face	27	['ágad', 'ógon', 'agad', 'agadoy', 'kon', 'gád', 'ígad', 'egad', 'ogan', 'gad', 'kad']
look.for	27	['kł', 'tówikh', 'lół', 'wókł', 'kheł', 'tówéł', 'wokł', 'tóweš', 'tóweł']
put	27	['akws', 'ákws', 'wuphedakáčhkš', 'tólihs', 'wuphedakáckš', 'kotaw', 'tó', 'tól']
at.last	27	['khłe', 'kłe', 'kłé', 'łi', 'khłé']
go.in.canoe[3sbj].	26	['łek.', 'lek.', 'łik.']
sometimes	26	['bigoy', 'bígoy,', 'bígoy']
go[1sbj].	26	['lól.', 'átóhl.', 'étol.', 'átod.', 'atol.', 'átohl.', 'lol.', 'tol.', 'éthol.', 'lag.']
talk	26	['thál', 'tohl', 'tol', 'tóhl', 'táhl', 'tól']
salmon	26	['bołak', 'bołák,', 'bołák', 'whokwł,', 'wokwł,', 'mołák', 'mółak']
think.about	26	['swítw', 'nog', 'dog', 'swetw', 'nóg', 'batitw', 'sbítw']
dry	25	['bac', 'macawán', 'bacaw', 'bác', 'bácaw', 'bacawán', 'bácawan']
be.up	25	['yól', 'tót', 'dúl', 'nót', 'nó', 'du', 'núl', 'dot', 'nu', 'dur', 'nuhl', 'duhr', 'dót', 'dó']
2POSS	25	['khó', 'khú', 'kho', 'kh', 'ku', 'khu', 'du', 'khá', 'kha']
go.out	25	['thíg', 'thígadaš', 'thígar', 'łag', 'thigáł', 'dothigad', 'thígadá', 'łaks', 'thígad', 'dothig', 'thígá', 'thigád', 'thigad', 'thigal', 'tégad', 'thigadá']
come.in	24	['kátaw', 'kátow', 'kátawal', 'kata', 'katawal', 'kataw']
gamble	24	['poš', 'pošír', 'phšer', 'phš', 'póš', 'pšír', 'pš']
2NEG	24	['khó', 'khalók', 'ko', 'kho', 'khoh', 'kha']
sometime	24	['tołto', 'téłko', 'tełto']
wood	24	['bótih,', 'mótih', 'moti', 'móti', 'motih']
