word_1	word_2	biword	frequency
fire	LOC.	fire|LOC.	3
LOC.	PST	LOC.|PST	8
PST	then	PST|then	9
then	die	then|die	1
die	3SBJ.DEF.	die|3SBJ.DEF.	1
pelican	PROG	pelican|PROG	1
PROG	catch.fish	PROG|catch.fish	1
catch.fish	3SBJ.DEF	catch.fish|3SBJ.DEF	3
3SBJ.DEF	DEF	3SBJ.DEF|DEF	6
DEF	be.dip.net	DEF|be.dip.net	1
be.dip.net	NMLZ.A.	be.dip.net|NMLZ.A.	1
NMLZ.A.	another	NMLZ.A.|another	1
PL	catch.fish	PL|catch.fish	1
catch.fish	3SBJ.DEF.	catch.fish|3SBJ.DEF.	3
3SBJ.DEF.	pelican	3SBJ.DEF.|pelican	3
pelican	INCH	pelican|INCH	1
INCH	steal	INCH|steal	1
steal	3SBJ.DEF.	steal|3SBJ.DEF.	1
another	3POSS	another|3POSS	1
3POSS	PROG	3POSS|PROG	24
PROG	catch	PROG|catch	2
3OBJ	3SBJ.INDF	3OBJ|3SBJ.INDF	17
3SBJ.INDF	be.one	3SBJ.INDF|be.one	1
be.one	UNK	be.one|UNK	4
UNK	NMLZ.INF.	UNK|NMLZ.INF.	2
NMLZ.INF.	UNK	NMLZ.INF.|UNK	1
eagle	PST	eagle|PST	3
PST	come	PST|come	14
PST	think	PST|think	80
think	3SBJ.DEF	think|3SBJ.DEF	99
be.good	3NEG	be.good|3NEG	11
3NEG	be.so[3sbj].	3NEG|be.so[3sbj].	1
be.so[3sbj].	PST	be.so[3sbj].|PST	1
3SBJ.DEF	go.to	3SBJ.DEF|go.to	9
go.to	look.for	go.to|look.for	5
look.for	3OBJ[1SBJ]	look.for|3OBJ[1SBJ]	1
AFF	PROG	AFF|PROG	13
PROG	on.arrival	PROG|on.arrival	75
on.arrival	fish.with.dip.net	on.arrival|fish.with.dip.net	1
fish.with.dip.net	3SBJ.INDF.	fish.with.dip.net|3SBJ.INDF.	1
3SBJ.DEF.	tell	3SBJ.DEF.|tell	1
tell	TH.IMPL	tell|TH.IMPL	21
TH.IMPL	INST.IMPL[3SBJ.INT]?	TH.IMPL|INST.IMPL[3SBJ.INT]?	1
PROH	ITER	PROH|ITER	10
ITER	do.so	ITER|do.so	3
do.so	2SBJ.IMP!	do.so|2SBJ.IMP!	1
2SBJ.IMP!	pelican	2SBJ.IMP!|pelican	1
pelican	tell[3sbj].	pelican|tell[3sbj].	1
tell[3sbj].	UNK	tell[3sbj].|UNK	1
UNK	eagle	UNK|eagle	1
pelican	PST	pelican|PST	1
PST	grab[3sbj].	PST|grab[3sbj].	1
grab[3sbj].	PST	grab[3sbj].|PST	1
PST	pull[3sbj]	PST|pull[3sbj]	1
tear	by.hand[3sbj]	tear|by.hand[3sbj]	1
by.hand[3sbj]	PROG	by.hand[3sbj]|PROG	1
PROG	UNK	PROG|UNK	7
UNK	pull	UNK|pull	1
pull	3OBJ.PERS	pull|3OBJ.PERS	1
3OBJ.PERS	3SBJ.DEF.	3OBJ.PERS|3SBJ.DEF.	4
on.arrival	build.fire	on.arrival|build.fire	1
build.fire	3SBJ.IMPL.	build.fire|3SBJ.IMPL.	1
3SBJ.IMPL.	PST	3SBJ.IMPL.|PST	4
PST	kill	PST|kill	11
kill	3OBJ[3SBJ].	kill|3OBJ[3SBJ].	2
3OBJ[3SBJ].	UNK	3OBJ[3SBJ].|UNK	1
INCH	catch.fish	INCH|catch.fish	3
3SBJ.DEF	another[pl]	3SBJ.DEF|another[pl]	1
another[pl]	PST	another[pl]|PST	1
PST	3NEG	PST|3NEG	7
3NEG	UNK	3NEG|UNK	3
UNK	3SBJ.DEF.	UNK|3SBJ.DEF.	10
be.good	PST	be.good|PST	2
PST	be.so[3sbj].	PST|be.so[3sbj].	5
be.so[3sbj].	around	be.so[3sbj].|around	1
around	go.to	around|go.to	8
go.to	catch.fish	go.to|catch.fish	1
3SBJ.DEF	eagle	3SBJ.DEF|eagle	1
3POSS	relative.	3POSS|relative.	1
relative.	PST	relative.|PST	1
PST	INCH	PST|INCH	56
INCH	give.food	INCH|give.food	1
give.food	3SBJ.INDF.	give.food|3SBJ.INDF.	1
3NEG	INCH	3NEG|INCH	3
3SBJ.DEF.	be.good	3SBJ.DEF.|be.good	2
skunk	DEM	skunk|DEM	1
DEM	be.so[3sbj]	DEM|be.so[3sbj]	1
be.so[3sbj]	PROG	be.so[3sbj]|PROG	2
PROG	feel.so[3sbj]	PROG|feel.so[3sbj]	1
feel.so[3sbj]	be.sick	feel.so[3sbj]|be.sick	1
be.sick	be.sick	be.sick|be.sick	1
be.sick	3SBJ.DEF.	be.sick|3SBJ.DEF.	1
fly[pl]	go.to	fly[pl]|go.to	1
go.to	UNK	go.to|UNK	1
UNK	3OBJ	UNK|3OBJ	6
3SBJ.DEF	medicine.man	3SBJ.DEF|medicine.man	1
medicine.man	DEM	medicine.man|DEM	1
elk	be.large	elk|be.large	1
be.large	3SBJ.STV.	be.large|3SBJ.STV.	4
3SBJ.STV.	skunk	3SBJ.STV.|skunk	1
skunk	PROG	skunk|PROG	1
PROG	PST	PROG|PST	12
PST	be.so[3sbj]	PST|be.so[3sbj]	4
be.very.sick	3SBJ.DEF.	be.very.sick|3SBJ.DEF.	1
3SBJ.DEF.	skunk	3SBJ.DEF.|skunk	1
skunk	UNK	skunk|UNK	1
UNK	3SBJ.DEF	UNK|3SBJ.DEF	8
3POSS	be.painful	3POSS|be.painful	1
be.painful	NMLZ.INF	be.painful|NMLZ.INF	2
NMLZ.INF	SUB	NMLZ.INF|SUB	32
SUB	3POSS	SUB|3POSS	34
3POSS	DEM	3POSS|DEM	6
DEM	dwell	DEM|dwell	3
dwell	UNK	dwell|UNK	1
UNK	3SBJ.	UNK|3SBJ.	1
elk	PST	elk|PST	2
PST	dance	PST|dance	1
dance	3SBJ.DEF	dance|3SBJ.DEF	5
3SBJ.DEF	cross	3SBJ.DEF|cross	1
cross	UNK	cross|UNK	2
grab	do.with.mouth	grab|do.with.mouth	1
do.with.mouth	3SBJ.DEF.	do.with.mouth|3SBJ.DEF.	14
3SBJ.DEF.	UNK	3SBJ.DEF.|UNK	9
3SBJ.DEF	skunk.	3SBJ.DEF|skunk.	1
kill	3OBJ	kill|3OBJ	11
3OBJ	3SBJ.IMPL	3OBJ|3SBJ.IMPL	5
3SBJ.IMPL	elk.	3SBJ.IMPL|elk.	1
elk.	PST	elk.|PST	1
PST	UNK	PST|UNK	7
3SBJ.DEF	fly[pl].	3SBJ.DEF|fly[pl].	1
3POSS	eat	3POSS|eat	1
eat	NMLZ.INF	eat|NMLZ.INF	3
SUB	POSS	SUB|POSS	2
POSS	AFF	POSS|AFF	1
AFF	elk	AFF|elk	1
PST	eat	PST|eat	2
POSS	FUT	POSS|FUT	1
FUT	kill	FUT|kill	1
kill	TH.PASS	kill|TH.PASS	7
TH.PASS	3SBJ.PASS[NMLZ]	TH.PASS|3SBJ.PASS[NMLZ]	1
3SBJ.PASS[NMLZ]	elk.	3SBJ.PASS[NMLZ]|elk.	1
skunk	do.so	skunk|do.so	1
do.so	3SBJ.DEF	do.so|3SBJ.DEF	5
3SBJ.DEF	skunk	3SBJ.DEF|skunk	1
skunk	ITER	skunk|ITER	1
ITER	be.cured	ITER|be.cured	1
be.cured	3SBJ.DEF.	be.cured|3SBJ.DEF.	4
fly[pl]	UNK	fly[pl]|UNK	1
PST	cut.through	PST|cut.through	1
cut.through	3OBJ	cut.through|3OBJ	1
knife[inst]	fly[pl]	knife[inst]|fly[pl]	1
fly[pl]	skunk.	fly[pl]|skunk.	1
skunk.	PST	skunk.|PST	1
eat	3SBJ.DEF.	eat|3SBJ.DEF.	20
ITER	go	ITER|go	51
long.ago	3SBJ.DEF	long.ago|3SBJ.DEF	1
3SBJ.DEF	girl	3SBJ.DEF|girl	3
girl	be.one	girl|be.one	1
be.one	EMP	be.one|EMP	16
EMP	CESS	EMP|CESS	2
CESS	grow	CESS|grow	1
grow	REFL	grow|REFL	3
REFL	3SBJ.DEF.	REFL|3SBJ.DEF.	17
DEM	INCH	DEM|INCH	11
INCH	do.so	INCH|do.so	3
3SBJ.DEF	grass	3SBJ.DEF|grass	1
PROG	go.about	PROG|go.about	4
go.about	NMLZ	go.about|NMLZ	1
NMLZ	SUB	NMLZ|SUB	6
3POSS	stick	3POSS|stick	1
stick	around	stick|around	3
around	carry	around|carry	6
carry	3OBJ	carry|3OBJ	27
around	hit	around|hit	2
hit	EMP	hit|EMP	2
EMP	cl.hairlike	EMP|cl.hairlike	2
cl.hairlike	move.aside	cl.hairlike|move.aside	2
move.aside	3OBJ	move.aside|3OBJ	2
3POSS	scare	3POSS|scare	1
scare	NMLZ.INF	scare|NMLZ.INF	1
3POSS	CESS	3POSS|CESS	2
CESS	PROB	CESS|PROB	6
PROB	see	PROB|see	1
see	1SBJ	see|1SBJ	8
around	drag	around|drag	1
drag	NMLZ.P.	drag|NMLZ.P.	1
NMLZ.P.	DEM	NMLZ.P.|DEM	7
DEM	around	DEM|around	19
around	do.so	around|do.so	1
some.time	when.nmlz	some.time|when.nmlz	6
when.nmlz	PROG	when.nmlz|PROG	5
PROG	happen	PROG|happen	7
go.to	gather.heracleum.lanatum	go.to|gather.heracleum.lanatum	1
gather.heracleum.lanatum	3SBJ.INDF.	gather.heracleum.lanatum|3SBJ.INDF.	2
on.arrival	land	on.arrival|land	1
land	3SBJ.STV.	land|3SBJ.STV.	4
INCH	gather.heracleum.lanatum	INCH|gather.heracleum.lanatum	1
soon	INCH	soon|INCH	1
INCH	carry.load.on.back.dim	INCH|carry.load.on.back.dim	1
carry.load.on.back.dim	affect	carry.load.on.back.dim|affect	1
affect	TH.IMPL[3SBJ].	affect|TH.IMPL[3SBJ].	1
PST	call.in.woods	PST|call.in.woods	1
call.in.woods	TH.IMPL[3SBJ]	call.in.woods|TH.IMPL[3SBJ]	1
TH.IMPL[3SBJ]	DEM.DIST	TH.IMPL[3SBJ]|DEM.DIST	1
DEM.DIST	girl.	DEM.DIST|girl.	5
PST	tell	PST|tell	8
TH.IMPL	INST.IMPL[3SBJ.PASS]	TH.IMPL|INST.IMPL[3SBJ.PASS]	27
INST.IMPL[3SBJ.PASS]	ITER	INST.IMPL[3SBJ.PASS]|ITER	1
ITER	INCH	ITER|INCH	84
INCH	travel[1sbj.pl]	INCH|travel[1sbj.pl]	1
travel[1sbj.pl]	AFF.	travel[1sbj.pl]|AFF.	1
PST	say	PST|say	168
3SBJ.DEF	all.right.	3SBJ.DEF|all.right.	1
all.right.	ITER	all.right.|ITER	1
INCH	EMP	INCH|EMP	3
EMP	go[3sbj]	EMP|go[3sbj]	1
go[3sbj]	AFF.	go[3sbj]|AFF.	1
3SBJ.DEF	INCH	3SBJ.DEF|INCH	20
INCH	carry.load[1sbj]	INCH|carry.load[1sbj]	1
carry.load[1sbj]	AFF.	carry.load[1sbj]|AFF.	1
in.vain	pull.with.hands	in.vain|pull.with.hands	1
pull.with.hands	3OBJ	pull.with.hands|3OBJ	1
3POSS	DEM.PROX	3POSS|DEM.PROX	3
DEM.PROX	carry.load.on.back.dim	DEM.PROX|carry.load.on.back.dim	1
carry.load.on.back.dim	NMLZ.INF	carry.load.on.back.dim|NMLZ.INF	1
SUB	3POSS.	SUB|3POSS.	17
then	ITER	then|ITER	47
ITER	be.up	ITER|be.up	3
be.up	stand	be.up|stand	2
stand	3SBJ.DEF.	stand|3SBJ.DEF.	3
PST	look.at	PST|look.at	3
look.at	3OBJ	look.at|3OBJ	27
PST	EMP	PST|EMP	152
EMP	see	EMP|see	124
see	3SBJ.DEF	see|3SBJ.DEF	83
3SBJ.DEF	INDF	3SBJ.DEF|INDF	3
INDF	drag	INDF|drag	1
drag	NMLZ.P	drag|NMLZ.P	1
PROG	lie	PROG|lie	2
lie	3SBJ.STV.	lie|3SBJ.STV.	8
3SBJ.STV.	surely	3SBJ.STV.|surely	1
around	on.the.move	around|on.the.move	1
on.the.move	grasp	on.the.move|grasp	1
grasp	3OBJ	grasp|3OBJ	6
3SBJ.DEF.	DEM	3SBJ.DEF.|DEM	67
3NEG	be.up	3NEG|be.up	2
be.up	carry.load.on.back	be.up|carry.load.on.back	1
carry.load.on.back	3SBJ.DEF.	carry.load.on.back|3SBJ.DEF.	1
INST.IMPL[3SBJ.PASS]	AFF	INST.IMPL[3SBJ.PASS]|AFF	3
INCH	accompany	INCH|accompany	1
accompany	2SBJ.IMP.	accompany|2SBJ.IMP.	1
2SBJ.IMP.	already	2SBJ.IMP.|already	1
already	see	already|see	2
see	2OBJ[1SBJ]	see|2OBJ[1SBJ]	1
DEM	2POSS	DEM|2POSS	1
2POSS	PROG	2POSS|PROG	1
do.so	2SBJ.SBJV	do.so|2SBJ.SBJV	1
when.2sbj	PROG	when.2sbj|PROG	1
go.about	2SBJ.SBJV	go.about|2SBJ.SBJV	1
stick	2POSS	stick|2POSS	1
2POSS	around	2POSS|around	2
3OBJ	2SBJ.SBJV	3OBJ|2SBJ.SBJV	1
3OBJ	2SBJ.SBJV.	3OBJ|2SBJ.SBJV.	1
2SBJ.SBJV.	now	2SBJ.SBJV.|now	1
DEM	go.to	DEM|go.to	3
go.to	come.to.get	go.to|come.to.get	1
come.to.get	2OBJ[1SBJ].	come.to.get|2OBJ[1SBJ].	1
2OBJ[1SBJ].	PST	2OBJ[1SBJ].|PST	1
PST	over	PST|over	1
over	go	over|go	1
3SBJ.DEF.	water	3SBJ.DEF.|water	4
go.to	on.arrival	go.to|on.arrival	1
on.arrival	PROG	on.arrival|PROG	1
on.arrival	go.through.enclosure	on.arrival|go.through.enclosure	2
go.through.enclosure	3SBJ.DEF.	go.through.enclosure|3SBJ.DEF.	2
DEM.PROX	also	DEM.PROX|also	1
also	around	also|around	3
around	feel.like	around|feel.like	1
feel.like	3SBJ.DEF	feel.like|3SBJ.DEF	1
ITER	feel.like	ITER|feel.like	1
feel.like	3SBJ.DEF.	feel.like|3SBJ.DEF.	1
PST	on.arrival	PST|on.arrival	20
on.arrival	see	on.arrival|see	13
see	3OBJ	see|3OBJ	33
3POSS	inside.	3POSS|inside.	1
inside.	PST	inside.|PST	1
upon.arrival	see	upon.arrival|see	22
go.down.into	at.end.of	go.down.into|at.end.of	1
at.end.of	do.with.face	at.end.of|do.with.face	1
do.with.face	lie	do.with.face|lie	1
3SBJ.STV.	have.sense	3SBJ.STV.|have.sense	1
have.sense	NMLZ.A	have.sense|NMLZ.A	1
NMLZ.A	3PL	NMLZ.A|3PL	1
only	PROG	only|PROG	6
PROG	PL	PROG|PL	58
PL	be.at.home[3sbj].	PL|be.at.home[3sbj].	1
soon	PST	soon|PST	5
PST	hear.noise	PST|hear.noise	4
hear.noise	3SBJ.DEF	hear.noise|3SBJ.DEF	7
3SBJ.DEF	3POSS	3SBJ.DEF|3POSS	25
3POSS	creak	3POSS|creak	1
creak	NMLZ.INF.	creak|NMLZ.INF.	2
DEM.DIST	woods	DEM.DIST|woods	1
woods	PFV	woods|PFV	1
PFV	go.about	PFV|go.about	1
go.about	3SBJ.DEF	go.about|3SBJ.DEF	4
3SBJ.DEF	ITER	3SBJ.DEF|ITER	15
ITER	go.through.enclosure	ITER|go.through.enclosure	1
go.through.enclosure	NMLZ.INF	go.through.enclosure|NMLZ.INF	1
DEM	PST	DEM|PST	31
ITER	each	ITER|each	1
each	lie	each|lie	1
3SBJ.STV.	soon	3SBJ.STV.|soon	1
ITER	hear.noise	ITER|hear.noise	2
DEM.DIST	creak	DEM.DIST|creak	1
AFF	then	AFF|then	11
DEM.DIST	PFV	DEM.DIST|PFV	4
PFV	suck	PFV|suck	1
suck	eat	suck|eat	3
eat	NMLZ.A.	eat|NMLZ.A.	2
3SBJ.DEF	PST	3SBJ.DEF|PST	51
ITER	INDF	ITER|INDF	1
INDF	vomit	INDF|vomit	1
vomit	NMLZ.INF	vomit|NMLZ.INF	1
people.	PST	people.|PST	1
3SBJ.DEF	DEM	3SBJ.DEF|DEM	33
DEM	DEM	DEM|DEM	1
DEM	EMPH	DEM|EMPH	115
DEF	suck	DEF|suck	1
NMLZ.A.	DEM	NMLZ.A.|DEM	5
INCH	behave	INCH|behave	1
behave	3SBJ.DEF.	behave|3SBJ.DEF.	1
some.time	PROG	some.time|PROG	6
PROG	happen[nmlz]	PROG|happen[nmlz]	12
happen[nmlz]	PROG	happen[nmlz]|PROG	1
PROG	suddenly	PROG|suddenly	29
suddenly	EMP	suddenly|EMP	2
EMP	recognize	EMP|recognize	1
recognize	3OBJ	recognize|3OBJ	3
3SG	be.relating.to	3SG|be.relating.to	1
be.relating.to	3OBJ	be.relating.to|3OBJ	1
3OBJ	NMLZ.A.	3OBJ|NMLZ.A.	6
NMLZ.A.	DEM.DIST	NMLZ.A.|DEM.DIST	2
DEM.DIST	be.old	DEM.DIST|be.old	2
be.old	NMLZ.A	be.old|NMLZ.A	1
3POSS	NEG.EMPH	3POSS|NEG.EMPH	1
NEG.EMPH	on.account.of	NEG.EMPH|on.account.of	1
on.account.of	EMP	on.account.of|EMP	1
EMP	be.content	EMP|be.content	2
be.content	3SBJ.DEF.	be.content|3SBJ.DEF.	3
AFF	DEM	AFF|DEM	22
DEM	3NEG	DEM|3NEG	7
3NEG	ITER	3NEG|ITER	41
do.so	NEG.	do.so|NEG.	1
NEG.	DEM	NEG.|DEM	4
no.longer	suck	no.longer|suck	1
eat	3SBJ.INDF.	eat|3SBJ.INDF.	31
3SBJ.INDF.	some.time	3SBJ.INDF.|some.time	1
INDF	drag.dim	INDF|drag.dim	1
drag.dim	NMLZ.P	drag.dim|NMLZ.P	1
NMLZ.P	EMP	NMLZ.P|EMP	2
EMP	SUB	EMP|SUB	8
SUB	DIM	SUB|DIM	3
DIM	inside	DIM|inside	1
INCH	so	INCH|so	4
so	travel	so|travel	2
travel	3SBJ.DEF	travel|3SBJ.DEF	1
grandmother	SUB	grandmother|SUB	5
3POSS	dwell	3POSS|dwell	2
dwell	3SBJ.INDF.	dwell|3SBJ.INDF.	3
3SBJ.INDF.	DEM	3SBJ.INDF.|DEM	30
DEM	PROG	DEM|PROG	158
DEM.DIST	old.woman	DEM.DIST|old.woman	3
old.woman	PROG	old.woman|PROG	1
PROG	go.out	PROG|go.out	2
go.out	whip	go.out|whip	2
whip	3OBJ	whip|3OBJ	1
3SBJ.DEF.	mother.sub	3SBJ.DEF.|mother.sub	1
mother.sub	DIM	mother.sub|DIM	1
DIM	3POSS	DIM|3POSS	1
PST	speak.to	PST|speak.to	6
speak.to	3OBJ	speak.to|3OBJ	4
3OBJ	INST	3OBJ|INST	40
INST	3SBJ.DEF	INST|3SBJ.DEF	39
3SBJ.DEF	PROG	3SBJ.DEF|PROG	27
whip	TH.PASS	whip|TH.PASS	1
TH.PASS	3SBJ.PASS.	TH.PASS|3SBJ.PASS.	19
3SBJ.DEF	AFF	3SBJ.DEF|AFF	70
DEM	ITER	DEM|ITER	13
ITER	go[1sbj].	ITER|go[1sbj].	7
go.to	go	go.to|go	9
go	1SBJ	go|1SBJ	5
1SBJ	[speak.to]3obj	1SBJ|[speak.to]3obj	1
[speak.to]3obj	INST[1SBJ]	[speak.to]3obj|INST[1SBJ]	1
INST[1SBJ]	AFF.	INST[1SBJ]|AFF.	2
AFF.	3SG	AFF.|3SG	1
3POSS	child	3POSS|child	4
child	SUB	child|SUB	4
go.to	PL	go.to|PL	1
PL	go.about	PL|go.about	1
go.about	3SBJ.DEF.	go.about|3SBJ.DEF.	11
2NEG	ITER	2NEG|ITER	4
ITER	see	ITER|see	26
see	EMP	see|EMP	3
EMP	1OBJ[2SBJ]	EMP|1OBJ[2SBJ]	1
1OBJ[2SBJ]	AFF	1OBJ[2SBJ]|AFF	1
no.longer	EMP	no.longer|EMP	22
EMP	be.fortunate	EMP|be.fortunate	3
be.fortunate	1SBJ.SBJV	be.fortunate|1SBJ.SBJV	1
(no.longer	EMP	(no.longer|EMP	1
be.fortunate	1SBJ.SBJV).	be.fortunate|1SBJ.SBJV).	1
at.last	PL	at.last|PL	1
PL	grow.together	PL|grow.together	1
grow.together	TH.PASS[3SBJ.PASS]	grow.together|TH.PASS[3SBJ.PASS]	1
TH.PASS[3SBJ.PASS]	arm	TH.PASS[3SBJ.PASS]|arm	1
arm	3POSS.	arm|3POSS.	1
UNK	be.light	UNK|be.light	1
be.light	NMLZ.A	be.light|NMLZ.A	3
ITER	PL	ITER|PL	3
PL	toward	PL|toward	1
toward	crawl	toward|crawl	1
crawl	3SBJ.DEF.	crawl|3SBJ.DEF.	1
EMP	PFV	EMP|PFV	5
PFV	get	PFV|get	1
get	3OBJ	get|3OBJ	4
openwork.plate.	DEM	openwork.plate.|DEM	1
DEM	PL	DEM|PL	2
PL	PROG	PL|PROG	6
PROG	put.in	PROG|put.in	3
put.in	3SBJ.DEF.	put.in|3SBJ.DEF.	3
DEM.DIST	PROG	DEM.DIST|PROG	13
PROG	be.warm	PROG|be.warm	1
be.warm	NMLZ.INF	be.warm|NMLZ.INF	1
NMLZ.INF	DEM	NMLZ.INF|DEM	12
PROG	set.upright	PROG|set.upright	1
set.upright	3OBJ	set.upright|3OBJ	1
INST	3SBJ.DEF.	INST|3SBJ.DEF.	21
PL	move	PL|move	1
move	3SBJ.DEF.	move|3SBJ.DEF.	9
3SBJ.DEF.	INCH	3SBJ.DEF.|INCH	33
INCH	get.dark	INCH|get.dark	2
get.dark	3SBJ.STV	get.dark|3SBJ.STV	2
3SBJ.STV	DEM	3SBJ.STV|DEM	6
PL	go	PL|go	3
go	TH.CAUS	go|TH.CAUS	1
TH.CAUS	CAUS	TH.CAUS|CAUS	4
CAUS	3OBJ	CAUS|3OBJ	13
child	then	child|then	1
then	be.born	then|be.born	1
be.born	then	be.born|then	1
then	grow.slow	then|grow.slow	1
grow.slow	REFL	grow.slow|REFL	1
REFL	3SBJ.STV.	REFL|3SBJ.STV.	1
INCH	care.for	INCH|care.for	2
care.for	3SBJ.INDF.	care.for|3SBJ.INDF.	1
3SBJ.INDF.	ITER	3SBJ.INDF.|ITER	8
ITER	be.one	ITER|be.one	1
EMP	UNK	EMP|UNK	2
UNK	next.day	UNK|next.day	1
next.day	NMLZ.A	next.day|NMLZ.A	1
go.to	gather.wood	go.to|gather.wood	1
gather.wood	IMPL	gather.wood|IMPL	1
IMPL	DEM.DIST	IMPL|DEM.DIST	1
DEM.DIST	EMP	DEM.DIST|EMP	27
EMP	wear.dress	EMP|wear.dress	3
wear.dress	NMLZ.A.	wear.dress|NMLZ.A.	2
then	CESS	then|CESS	1
CESS	INTS	CESS|INTS	3
INTS	3SBJ.IMPL	INTS|3SBJ.IMPL	1
3SBJ.IMPL	DEM.DIST	3SBJ.IMPL|DEM.DIST	7
DEM.DIST	child.	DEM.DIST|child.	1
child.	DEM.DIST	child.|DEM.DIST	1
EMP	man	EMP|man	1
then	EMP	then|EMP	7
EMP	care.for	EMP|care.for	1
care.for	3SBJ.DEF.	care.for|3SBJ.DEF.	1
INCH	cry	INCH|cry	8
cry	3SBJ.DEF.	cry|3SBJ.DEF.	17
